candidate_id,fdl_path,s2p_path,accepted,reject_reason,r0,W,S,N,pitch,outer_radius,fill_ratio,L_3p75_nH,Q_3p75,Q_3p0,Q_4p5
LQ_N4p5_R84_W10p4_S15,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R84_W10p4_S15.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R84_W10p4_S15.s2p,0,"L_3p75_nH outside [1.0, 6.0]",84.0,10.4,15.0,4.5,25.4,198.3,0.40944881889763785,7.643139222055754,42.174418682533066,38.81269192545607,43.09411426048884
LQ_N4p5_R84_W11p2_S16,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R84_W11p2_S16.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R84_W11p2_S16.s2p,0,"L_3p75_nH outside [1.0, 6.0]",84.0,11.2,16.0,4.5,27.2,206.39999999999998,0.4117647058823529,7.759171746659488,42.44807225620799,39.72891289897631,43.040691067705865
LQ_N3p5_R36_W10p4_S14,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R36_W10p4_S14.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R36_W10p4_S14.s2p,1,,36.0,10.4,14.0,3.5,24.4,121.39999999999999,0.42622950819672134,2.1418361007503814,29.18755883441332,25.325850215648252,32.67184749323552
LQ_N3p5_R36_W10p4_S15,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R36_W10p4_S15.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R36_W10p4_S15.s2p,1,,36.0,10.4,15.0,3.5,25.4,124.89999999999999,0.40944881889763785,2.1834822043690902,30.71593040858934,26.562463927795683,33.79647661002728
LQ_N3p5_R40_W10p4_S14,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R40_W10p4_S14.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R40_W10p4_S14.s2p,1,,40.0,10.4,14.0,3.5,24.4,125.39999999999999,0.42622950819672134,2.301691493240324,30.714428414655842,26.55202805459229,34.387736141225766
LQ_N3p5_R40_W10p4_S15,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R40_W10p4_S15.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R40_W10p4_S15.s2p,1,,40.0,10.4,15.0,3.5,25.4,128.89999999999998,0.40944881889763785,2.3398652459954548,31.551182697067198,27.046209583098026,35.750811653896626
LQ_N3p5_R44_W10p4_S14,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R44_W10p4_S14.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R44_W10p4_S14.s2p,1,,44.0,10.4,14.0,3.5,24.4,129.39999999999998,0.42622950819672134,2.4655809181751214,31.652239764307325,27.484722055474105,35.345940573746454
LQ_N3p5_R44_W10p4_S15,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R44_W10p4_S15.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R44_W10p4_S15.s2p,1,,44.0,10.4,15.0,3.5,25.4,132.89999999999998,0.40944881889763785,2.5038614494711693,31.977472323390145,27.76386951902086,35.96906428428403
LQ_N3p5_R48_W11p2_S16,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R48_W11p2_S16.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R48_W11p2_S16.s2p,1,,48.0,11.2,16.0,3.5,27.2,143.2,0.4117647058823529,2.714749289330869,34.63987069014887,29.975216131143657,38.47554051206973
LQ_N3p5_R52_W11p2_S16,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R52_W11p2_S16.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R52_W11p2_S16.s2p,1,,52.0,11.2,16.0,3.5,27.2,147.2,0.4117647058823529,2.8855749405663285,34.86167301381098,30.412995583452407,38.61893365318159
